"","value"
"1",-0.438927923568599
"2",1.85599085875609
"3",-0.472873225149488
"4",-1.28943914385741
"5",0.0680743592625552
"6",-0.03090117697259
"7",-0.325888243578864
"8",1.38744279606888
"9",-1.72077485018798
"10",-0.438922103514469
"11",0.00105512508032241
"12",-0.447424864745955
"13",-0.316733588691455
"14",0.719872431951084
"15",-0.753089831530908
"16",-0.754026134349704
"17",1.62800150186497
"18",0.374680334054467
"19",-1.33321794302782
"20",-1.75367490357574
"21",0.588776143536997
"22",-0.936150474530091
"23",0.0708042808839599
"24",0.292783260522447
"25",2.66969679139784
"26",0.958956280232161
"27",-0.372356177144734
"28",-0.621347873457069
"29",-0.127996160268086
"30",-0.387313382520181
"31",0.00307846683425032
"32",-0.49119873707073
"33",0.281741012115061
"34",1.0106044184159
"35",0.446598448037369
"36",0.600588591260042
"37",0.188551958050166
"38",-0.499485499753574
"39",2.8550667073579
"40",-0.412399254956355
"41",-1.00649783325026
"42",0.852651720587819
"43",-1.0659701822586
"44",-2.43800814916965
"45",0.102478651070487
"46",1.57227025908027
"47",-1.51940399923761
"48",0.524323186226432
"49",1.2835685546296
"50",-0.327963363012228
"51",0.309330002143075
"52",-1.28616085130125
"53",0.962422428709059
"54",0.781193952194035
"55",0.0816299260074105
"56",-0.618614729534229
"57",-0.654834612355472
"58",-0.710620020545484
"59",-1.60790083099792
"60",0.495713484577883
"61",-2.56832289706134
"62",-0.572251602910431
"63",0.711820802724966
"64",0.0718831898648597
"65",0.719590505190261
"66",-0.681255066395354
"67",-0.120061033519503
"68",-0.178967748302222
"69",-1.50718748655313
"70",0.418452964089177
"71",0.426981326158422
"72",-0.340930222520668
"73",-0.359245711488401
"74",-0.406009170346412
"75",0.183296292948788
"76",-0.201366499419833
"77",0.71866334523199
"78",-0.65913545653504
"79",-0.243796160491879
"80",0.0166754653204996
"81",0.748991095745963
"82",-0.00938083024453929
"83",0.335680477609498
"84",0.699319189546137
"85",0.390897298057601
"86",-2.53799030930989
"87",-0.787394558331325
"88",0.784671441573572
"89",0.00677629868045526
"90",1.64373680247986
"91",-0.554087784968096
"92",-0.433308959154288
"93",0.709429796780271
"94",0.584630632638807
"95",1.84717340186285
"96",-0.919015756248707
"97",0.74679266697203
"98",0.197480891334653
"99",-0.430278248357103
"100",-0.27947412320638
"101",5.72493075042692
"102",6.23049969345913
"103",5.87965345387259
"104",6.5696537084484
"105",6.308842207217
"106",6.77616462031229
"107",3.62116127980847
"108",5.72330383967867
"109",5.8238192586921
"110",6.50671487953668
"111",8.11858129215137
"112",5.40813612675248
"113",7.34047130571988
"114",3.94030926771845
"115",6.14846671432164
"116",6.97229397048591
"117",6.14245979899006
"118",4.75358688392389
"119",3.73173681717425
"120",4.45030099740043
"121",5.83839272639006
"122",4.9848354240642
"123",4.63389180251944
"124",4.38484885961221
"125",5.73143420562376
"126",6.95886485246662
"127",3.83107838189958
"128",5.74240938014618
"129",5.18100558034163
"130",6.93138316263185
"131",5.13561535734173
"132",7.47897780911684
"133",7.83969268391625
"134",6.46086913430164
"135",3.7493969378581
"136",5.48904610920013
"137",6.42844059511049
"138",6.80714004062579
"139",6.6923175927162
"140",5.48277854936608
"141",6.04777130599921
"142",7.48375478039188
"143",4.38561069952667
"144",5.27140060474894
"145",6.44173792414369
"146",6.57864094348926
"147",4.82876407775774
"148",5.75075092140742
"149",5.11756835759272
"150",6.64731625061306
"151",6.2861280419652
"152",5.55709249951593
"153",6.30278786636886
"154",3.03351202401497
"155",5.32052815857879
"156",5.79331762698969
"157",4.87174578980425
"158",5.47253669165528
"159",5.2009060689572
"160",6.44986828062182
"161",6.61163854845007
"162",5.8699162499459
"163",4.19264662270114
"164",5.33301931352948
"165",5.62477011877104
"166",5.17075262896088
"167",6.48602096818861
"168",5.77377308648989
"169",6.31772760482221
"170",5.85441148476056
"171",5.06074891340463
"172",6.12692824636405
"173",4.90571735130416
"174",4.18058725388578
"175",3.94427270559439
"176",6.09140568837772
"177",7.66961604494462
"178",4.40528053160343
"179",4.42932814500047
"180",7.33094393500817
"181",7.75648518818479
"182",5.57947764373366
"183",6.16514552472254
"184",4.88358483103858
"185",6.43699431051949
"186",5.47535943454166
"187",5.92070674008973
"188",7.07373368853682
"189",6.67918232838754
"190",6.73046880030658
"191",6.01861105311906
"192",5.61758884049063
"193",4.99337851710934
"194",4.70081192421294
"195",5.01820576316475
"196",4.571259091549
"197",7.61639935890023
"198",4.2907601888229
"199",5.98834996560128
"200",4.72373296526606
"201",6.45494730160101
"202",8.66708018647293
"203",5.14027223472069
"204",7.89304673596515
"205",6.30187819379442
"206",7.50542881684663
"207",5.31644618775222
"208",7.85274657989078
"209",5.66217453630651
"210",8.25426068852801
"211",8.07628833011299
"212",6.31730402223226
"213",3.12406786171055
"214",6.24561806363053
"215",4.74808967197676
"216",6.6399415022994
"217",4.57055904397088
"218",4.92615071879476
"219",8.6592511419514
"220",4.04814436497354
"221",6.40994615755387
"222",5.93672133661719
"223",6.23391679196265
"224",6.01735551341528
"225",7.20028884189491
"226",6.64331041040748
"227",5.28367234800311
"228",6.47455169678127
"229",5.59359236545385
"230",6.11349478062378
"231",5.76106362949836
"232",5.83476895531603
"233",7.42269391214865
"234",7.74973596157025
"235",7.05659832667275
"236",6.70470390958347
"237",4.98848164959124
"238",5.76780878091567
"239",6.15624950851284
"240",7.03447151586775
"241",5.72763244352766
"242",6.53443915289266
"243",6.10199786271622
"244",5.01909844064548
"245",4.67421545454623
"246",5.06822706621176
"247",6.26461421624073
"248",4.91193803020215
"249",6.65835277814112
"250",5.46887217342215
"251",7.19785175210526
"252",4.78621271725655
"253",6.18315292994522
"254",7.01453525044642
"255",6.53742327104635
"256",6.03253261472477
"257",6.24426050253158
"258",5.7583542209585
"259",4.55816059277392
"260",6.88031981435993
"261",5.77869912198861
"262",5.09991882443217
"263",5.7029879187036
"264",5.90276262571969
"265",5.45784619267767
"266",5.91351088531454
"267",5.46033970301897
"268",6.45139990732638
"269",7.31098241039886
"270",6.27892351279913
"271",8.04643530298149
"272",5.72073627721322
"273",6.97415631120478
"274",7.63783742907563
"275",5.7042846717334
"276",6.74013070182254
"277",6.43360269840625
"278",7.04883835266536
"279",5.63774012701555
"280",7.55319300584803
"281",5.76395631233465
"282",7.45910962345111
"283",5.89179639262994
"284",7.00282860715132
"285",6.9544139836708
"286",5.53377119872752
"287",6.3422530989428
"288",5.67812885993259
"289",6.69963136589693
"290",5.50876740142186
"291",5.63967796539437
"292",7.11986378608347
"293",6.29847483720383
"294",5.16047935254985
"295",8.10339580312112
"296",5.78256621922547
"297",5.27212693262692
"298",4.90125002283845
"299",8.23876735006413
"300",6.82892887390743
